"model","3d","display_format","diagonal_size","review_date"
"Samsung UN26EH4000 - 26' Class ( 26' viewable ) LED TV","","720p","26 in","Aug. 7, 2012"
"Vizio M3D550KD","Passive 3D","1080p","55 in","Jul. 27, 2012"
"Vizio M3D470KD","Passive 3D","1080p","47 in","Jul. 27, 2012"
"LG 60PM9700","Yes","1080p","60 in","Jul. 25, 2012"
"Panasonic TC-L47WT50","Yes","1080p","47 in","Jul. 18, 2012"
"Samsung UN46ES8000","Active 3D","1080p","46 in","Jul. 10, 2012"
"Samsung UN60ES8000","Active 3D","1080p","60 in","Jul. 10, 2012"
"Samsung UN55ES8000","Active 3D","1080p","55 in","Jul. 10, 2012"
"Samsung UN65ES8000","Active 3D","1080p","65 in","Jul. 10, 2012"
"Panasonic TC L55E50 - 55' Class ( 54.6' viewable ) LED-backlit LCD TV","","1080p (FullHD)","55 in","Jul. 9, 2012"
"Panasonic TC L47E50 - 47' LED-backlit LCD TV","","1080p (FullHD)","47 in","Jul. 9, 2012"
"Toshiba 50L5200U","No","1080p","50 in","Jun. 28, 2012"
"Toshiba 40L5200U","No","1080p","40 in","Jun. 28, 2012"
"Toshiba 46L5200U - 46' Class ( 45.63' viewable ) LED TV","","1080p (FullHD)","46 in","Jun. 28, 2012"
"Panasonic TC-P65GT50","Yes","1080p","65 in","Jun. 21, 2012"
"Panasonic TC P60GT50 - 60' Class ( 60.1' viewable ) 3D plasma TV","Yes","1080p (FullHD)","60 in","Jun. 21, 2012"
"Samsung PN60E6500","Active 3D","1080p","60 in","Jun. 8, 2012"
"Samsung PN51E6500","Active 3D","1080p","51 in","Jun. 8, 2012"
"Samsung UN55EH6000","","1080p","55 in","Jun. 8, 2012"
"Samsung UN40EH6000","","1080p","40 in","Jun. 8, 2012"
"Samsung UN65EH6000","","1080p","65 in","Jun. 8, 2012"
"Samsung UN60EH6000","","1080p","60 in","Jun. 8, 2012"
"Samsung UN55EH6000","","1080p","55 in","Jun. 8, 2012"
"Samsung UN46EH6000","","1080p","46 in","Jun. 8, 2012"
"Sharp LC 60LE745U - 60' Class ( 60.03' viewable ) 3D LED TV","Yes","1080p (FullHD)","60 in","May. 22, 2012"
"Sharp LC-70LE745U","Active 3D","1080p","70 in","May. 22, 2012"
"Sony KDL-55HX850","Active 3D","1080p","55 in","May. 18, 2012"
"Sony KDL-46HX850","Active 3D","1080p","46 in","May. 18, 2012"
"LG 55LM9600 - 55' Class ( 54.6' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in","May. 16, 2012"
"LG 55LM6700","Passive Cinema 3D with Dual Play","1080p","55 in","May. 10, 2012"
"LG 47LM6700","Passive Cinema 3D with Dual Play","1080p","47 in","May. 10, 2012"
"Panasonic TC-L55DT50","Yes","1080p","55 in","May. 1, 2012"
"Panasonic TC L47DT50 - 47' 3D LED TV","Yes","1080p (FullHD)","47 in","May. 1, 2012"
"Samsung PN64E8000","Yes","1080p","64 in","Apr. 18, 2012"
"Samsung PN60E8000","Active 3D","1080p","59 in","Apr. 18, 2012"
"Samsung PN51E8000","Active 3D","1080p","51 in","Apr. 18, 2012"
"Sony Internet TV KDL-46HX750 - 46' 3D LED TV","Yes","1080p (FullHD)","46 in","Mar. 29, 2012"
"Sony KDL-55HX750","Active 3D","1080p","55 in","Mar. 29, 2012"
